ID,Timestamp,Count,Change
436,1721337890,164028,670
437,1721338199,164530,502
438,1721338383,165716,1186
439,1721338690,166104,388
440,1721339060,166700,596
441,1721339310,167176,476
442,1721339619,167634,458
443,1721339927,168280,646
444,1721340175,168712,432
445,1721340542,169198,486
446,1721340728,169752,554
447,1721341095,170268,516
448,1721341465,171066,798
449,1721341771,171474,408
450,1721342141,171854,380
451,1721342448,172368,514
452,1721342754,172744,376
453,1721343182,173264,520
454,1721343429,173838,574
455,1721343918,174250,412
456,1721344223,174880,630
457,1721344653,175222,342
458,1721345082,176062,840
459,1721345511,176330,268
460,1721345879,176844,514
461,1721346308,177264,420
462,1721346677,177506,242
463,1721347172,177820,314
464,1721347481,178186,366
465,1721347909,178560,374
466,1721348277,179138,578
467,1721348646,179554,416
468,1721349076,179912,358
469,1721349507,180148,236
470,1721349998,180532,384
471,1721350488,180948,416
472,1721350978,181306,358
473,1721351347,181684,378
474,1721351896,181908,224
475,1721352386,182350,442
476,1721352878,182802,452
477,1721353245,183204,402
478,1721353735,183582,378
479,1721354104,183960,378
480,1721354656,184300,340
481,1721355085,184662,362
482,1721355576,184948,286
483,1721356126,185220,272
484,1721356617,185590,370
485,1721357048,185834,244
486,1721357539,186020,186
487,1721358029,186388,368
488,1721358577,186574,186
489,1721359130,186844,270
490,1721359680,187210,366
491,1721360170,187616,406
492,1721360660,188378,762
493,1721361147,188608,230
494,1721361638,188986,378
495,1721362249,189254,268
496,1721362738,189712,458
497,1721363228,189964,252
498,1721363778,190158,194
499,1721364267,190340,182
500,1721364755,190748,408
501,1721365303,191028,280
502,1721365792,191286,258
503,1721366280,191744,458
504,1721366710,191936,192
505,1721367198,192368,432
506,1721367686,192646,278
507,1721368115,192944,298
508,1721368664,193156,212
509,1721369033,193766,610
510,1721369522,193984,218
511,1721369951,194418,434
512,1721370378,194852,434
513,1721370865,195144,292
514,1721371231,195374,230
515,1721371659,195700,326
516,1721372028,196052,352
517,1721372519,196330,278
518,1721372885,196576,246
519,1721373376,196972,396
520,1721373745,197308,336
521,1721374232,197788,480
522,1721374598,198024,236
523,1721375091,198440,416
524,1721375519,198944,504
525,1721375947,199294,350
526,1721376316,199626,332
527,1721376744,200102,476
528,1721377173,200546,444
529,1721377480,201122,576
530,1721377847,201532,410
531,1721378274,202060,528
532,1721378702,202932,872
533,1721379069,203334,402
534,1721379439,203646,312
535,1721379805,204368,722
536,1721380233,204828,460
537,1721380539,205048,220
538,1721380909,205322,274
539,1721381337,205674,352
540,1721381643,205964,290
541,1721381707,206038,74
542,1721382075,206588,550
543,1721382441,207092,504
544,1721382749,207434,342
545,1721383116,208368,934
546,1721383485,208828,460
547,1721383793,209414,586
548,1721384100,209782,368
549,1721384408,210218,436
550,1721384717,210774,556
551,1721385085,211392,618
552,1721385392,211746,354
553,1721385636,212176,430
554,1721386002,212682,506
555,1721386248,213304,622
556,1721386555,213636,332
557,1721386863,214020,384
558,1721387172,214602,582
559,1721387480,214884,282
560,1721387787,215558,674
561,1721388094,216002,444
562,1721388402,216306,304
563,1721388710,216618,312
564,1721389018,217088,470
565,1721389265,217422,334
566,1721389511,217920,498
567,1721389881,218488,568
568,1721390127,219158,670
569,1721390374,219512,354
570,1721390620,219922,410
571,1721390867,220284,362
572,1721391175,220614,330
573,1721391423,220956,342
574,1721391610,221606,650
575,1721391857,221808,202
576,1721392104,222444,636
577,1721392350,222968,524
578,1721392596,223180,212
579,1721392843,223786,606
580,1721393090,224260,474
581,1721393336,224644,384
582,1721393523,225198,554
583,1721393770,225758,560
584,1721394017,226302,544
585,1721394264,226672,370
586,1721394512,227030,358
587,1721394758,227358,328
588,1721395003,227624,266
589,1721395248,228362,738
590,1721395435,228678,316
591,1721395680,229048,370
592,1721395867,229466,418
593,1721396114,229946,480
594,1721396361,230434,488
595,1721396547,230868,434
596,1721396794,231090,222
597,1721397043,231462,372
598,1721397290,231948,486
599,1721397476,232220,272
600,1721397661,232530,310
601,1721397847,232874,344
602,1721398034,233144,270
603,1721398282,234050,906
604,1721398530,234880,830
605,1721398839,235298,418
606,1721399025,235778,480
607,1721399272,236146,368
608,1721399519,236492,346
609,1721399644,236854,362
610,1721399953,237198,344
611,1721400201,237754,556
612,1721400449,238282,528
613,1721400697,238506,224
614,1721400883,239078,572
615,1721401070,239452,374
616,1721401318,240000,548
617,1721401444,240404,404
618,1721401692,240766,362
619,1721401879,241182,416
620,1721402127,241614,432
621,1721402374,242092,478
622,1721402561,242352,260
623,1721402809,242832,480
624,1721403057,243310,478
625,1721403244,243828,518
626,1721403491,244236,408
627,1721403739,244756,520
628,1721403925,245154,398
629,1721404171,245704,550
630,1721404418,246216,512
631,1721404665,246682,466
632,1721404852,247136,454
633,1721405101,247496,360
634,1721405226,247836,340
635,1721405475,248320,484
636,1721405662,248866,546
637,1721405909,249348,482
638,1721406156,249762,414
639,1721406404,250148,386
640,1721406652,250724,576
641,1721406901,251076,352
642,1721407087,251412,336
643,1721407335,251918,506
644,1721407521,252488,570
645,1721407707,252930,442
646,1721408017,253306,376
647,1721408265,253618,312
648,1721408452,253976,358
649,1721408700,254356,380
650,1721408825,254928,572
651,1721409074,255364,436
652,1721409322,255824,460
653,1721409570,256138,314
654,1721409757,256500,362
655,1721410005,256916,416
656,1721410192,257672,756
657,1721410440,258138,466
658,1721410564,258560,422
659,1721410813,259030,470
660,1721411000,259284,254
661,1721411248,259674,390
662,1721411496,260314,640
663,1721411683,260662,348
664,1721411931,261644,982
665,1721412117,262382,738
666,1721412304,263206,824
667,1721412552,263540,334
668,1721412800,264072,532
669,1721412986,264452,380
670,1721413234,264836,384
671,1721413482,265204,368
672,1721413730,265626,422
673,1721413916,266006,380
674,1721414103,266574,568
675,1721414351,267044,470
676,1721414540,267464,420
677,1721414789,268204,740
678,1721415036,268732,528
679,1721415284,269448,716
680,1721415531,269750,302
681,1721415778,270204,454
682,1721415904,270548,344
683,1721416152,270944,396
684,1721416338,271508,564
685,1721416523,272082,574
686,1721416772,272378,296
687,1721417018,273476,1098
688,1721417204,273900,424
689,1721417451,274418,518
690,1721417637,275106,688
691,1721417824,275484,378
692,1721418009,276000,516
693,1721418196,276416,416
694,1721418442,276934,518
695,1721418690,277746,812
696,1721418938,278110,364
697,1721419186,278624,514
698,1721419433,278936,312
699,1721419681,279436,500
700,1721419868,279844,408
701,1721420054,280136,292
702,1721420300,280932,796
703,1721420551,281562,630
704,1721420798,282004,442
705,1721421106,282672,668
706,1721421291,282878,206
707,1721421478,283392,514
708,1721421665,283990,598
709,1721421851,284378,388
710,1721422099,284750,372
711,1721422285,285242,492
712,1721422534,285750,508
713,1721422720,286294,544
714,1721422969,286818,524
715,1721423216,287358,540
716,1721423401,287654,296
717,1721423587,288080,426
718,1721423773,288698,618
719,1721424017,289200,502
720,1721424266,289858,658
721,1721424512,290382,524
722,1721424759,290710,328
723,1721425005,291358,648
724,1721425191,291764,406
725,1721425441,292096,332
726,1721425566,292762,666
727,1721425812,293170,408
728,1721426060,293666,496
729,1721426306,294204,538
730,1721426553,294604,400
731,1721426801,294946,342
732,1721427049,295648,702
733,1721427296,296184,536
734,1721427541,296578,394
735,1721427725,296926,348
736,1721427973,297190,264
737,1721428279,297624,434
738,1721428524,297848,224
739,1721428769,298120,272
740,1721429014,298412,292
741,1721429261,298838,426
742,1721429507,299292,454
743,1721429753,299732,440
744,1721429998,300072,340
745,1721430183,300624,552
746,1721430553,301148,524
747,1721430800,301554,406
748,1721431047,301968,414
749,1721431415,302586,618
750,1721431722,302838,252
751,1721431968,303248,410
752,1721432398,303926,678
753,1721432584,304406,480
754,1721432890,304698,292
755,1721433136,304988,290
756,1721433444,305278,290
757,1721433751,306230,952
758,1721434179,306574,344
759,1721434487,307598,1024
760,1721434856,308084,486
761,1721435104,308430,346
762,1721435473,308790,360
763,1721435779,309124,334
764,1721436088,309392,268
765,1721436517,309698,306
766,1721436886,309994,296
767,1721437253,310306,312
768,1721437622,310798,492
769,1721437929,311494,696
